task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,3,7,0.6228,0.1762,7,0.6131,0.269,0.36782,0.6042,0.7384,0.1021,0.4771
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,4,5,0.5503,1.915,10,0.4454,0.215,0.73913,0.6029,0.7424,0.528,0.4342
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,5,1,0.5695,0.4555,1,0.5144,0.2176,0.64068,0.6035,0.7374,0.3018,0.4788
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,6,9,0.5344,2.5381,9,0.4346,0.2023,0.8016,0.5995,0.7316,0.3741,0.5174
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,0,5,0.6738,-2.5372,5,0.5558,0.3127,0.15942,0.5998,0.7372,0.0317,0.4742
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,1,9,0.9301,0.9314,9,0.5812,0.6242,0.0005,0.6076,0.7515,0.1831,0.4978
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,2,2,0.6934,-1.679,1,0.3044,0.3288,0.16792,0.6142,0.7623,0.0061,0.4547
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,3,12,0.989,-0.0,12,0.989,0.6078,0.002,0.607,0.7419,0.0397,0.4341
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,4,7,0.9094,-0.5921,7,0.7563,0.5547,0.0005,0.6092,0.7581,0.0113,0.4698
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,5,1,0.9565,-1.6878,8,0.2009,0.6325,0.0005,0.6129,0.7594,0.7896,0.4876
iran_interval_separate,Iranian-17,dft,none,7,626362257,False,0.9085,6,2,0.9299,1.6409,6,0.2613,0.5871,0.0005,0.6095,0.7439,0.453,0.5078
